dataset,detector,ROC-AUC,PR-AUC,AvgPrec,Precision,Recall,F1,RangePrec,RangeRec,RangeF1,RangePR-AUC,RangePR-VUS,RangeROC-VUS,time_sec
CoMuT-ts_0,Stumpi,0.7387094320486814,0.007347258057349917,0.007540912126851395,0.0,0.0,0.0,0.0,0.0,0.0,0.015392184168059252,0.022581227155294457,0.6351286857893749,44.433334648
Exathlon-5_1_100000_63-64,Stumpi,0.9964859644094639,0.9824502958808344,0.9825489909200815,0.9981382359785897,0.7888541475078168,0.8812410108896651,0.9855072463768116,0.19313254004774452,0.3229714793619774,0.7554768795742498,0.5668131752517029,0.9676423806952967,1733.771056777
GutenTAG-cbf-position-end,Stumpi,0.4784204081632639,0.008741285548253567,0.008886516572982301,0.0010090817356205853,0.01,0.0018331805682859762,0.011494252873563218,0.0001,0.0001982750074353128,0.012798280079089973,0.029574663113318935,0.48385559793669514,17.874737002
GutenTAG-ecg-type-pattern-shift,Stumpi,0.9950520408163266,0.5551387515660408,0.5597747141919105,0.10090817356205853,1.0,0.18331805682859761,0.002520330879119134,1.0,0.005027989560888074,0.4044684775669374,0.04942412978987465,0.9257743648437449,17.715765085
GutenTAG-poly-channels-single-of-2,Stumpi,0.1775336734693875,0.005973797747302083,0.006035595257796761,0.0,0.0,0.0,0.0,0.0,0.0,0.20493172873053309,0.05028355321234029,0.3032849860961784,29.180666573
GutenTAG-poly-same-count-1,Stumpi,0.8807051020408128,0.05077439780982809,0.051996282165186244,0.045408678102926335,0.45,0.08249312557286893,0.028913716934400646,0.0915,0.04394192234658681,0.018047275360861238,0.03440435143749957,0.7310481166425136,17.827596891
GutenTAG-rw-channels-all-of-3,Stumpi,0.9960479591836735,0.5618708882237187,0.5674548972946915,0.10090817356205853,1.0,0.18331805682859761,0.008163511877501606,1.0,0.016194817172660234,0.25910009182736454,0.21040234568566957,0.9457195410628149,41.16407899
GutenTAG-sinus-channels-single-of-10,Stumpi,0.4898040816326632,0.009160371911279686,0.009262552400249464,0.0,0.0,0.0,0.0,0.0,0.0,0.006449616454019803,0.04714373412877721,0.4969066967257585,126.519848244
GutenTAG-sinus-channels-single-of-5,Stumpi,0.8459102040816369,0.09332047993148447,0.09629269189102398,0.04641775983854692,0.46,0.0843263061411549,0.035477759334708175,0.2116,0.06076705483681058,0.044047809609848096,0.04576887039530307,0.6900337565295029,66.127457204
KDD-TSAD-001_UCR_Anomaly_DISTORTED1sddb40,Stumpi,0.1359741058407191,0.004127886771205977,0.004137249824508004,0.0006273525721455458,0.008064516129032258,0.0011641443538998836,0.002150537634408602,0.00006503642039542143,0.00012625465564042673,0.01828725380915095,0.008529105488218853,0.19741034567289995,158.252126536
KDD-TSAD-058_UCR_Anomaly_DISTORTEDapneaecg,Stumpi,0.7677352565213389,0.08361798306171021,0.08670056914487013,0.010413954699297057,0.5882352941176471,0.020465592223074956,0.0004109409958076314,0.34602076124567477,0.000820907066393681,0.04890422422589742,0.012124039033429646,0.7429790514614746,75.113311657
KDD-TSAD-081_UCR_Anomaly_DISTORTEDresperation3,Stumpi,0.8669992999963159,0.000019785524909975862,0.000039571049819951724,0.0,0.0,0.0,0.0,0.0,0.0,1.3850415512465374e-11,0.000888631761576413,0.7523623626407011,378.726659969
KDD-TSAD-114_UCR_Anomaly_CIMIS44AirTemperature2,Stumpi,0.31433002481390276,0.0019941776506680825,0.0020891047619984067,0.0,0.0,0.0,0.0,0.0,0.0,0.007230387553432801,0.028629479636374217,0.22094034304555843,14.16824936
KDD-TSAD-143_UCR_Anomaly_InternalBleeding8,Stumpi,0.7567272416170767,0.13175626914622623,0.1362593063583777,0.08771929824561403,0.5963302752293578,0.15294117647058825,0.034482758620689655,0.3556097971551216,0.06286921714804398,0.05382073991061646,0.03722389152146729,0.6760894140209358,12.980431841
KDD-TSAD-189_UCR_Anomaly_resperation3,Stumpi,0.7063668756151349,8.962018963632127e-6,0.000017924037927264255,0.0,0.0,0.0,0.0,0.0,0.0,1.3850415512465374e-11,0.00109455136990711,0.6179056018527874,380.249789481
MITDB-115,Stumpi,0.34257052357801454,0.0019175961339974797,0.0019204831052046728,0.0016002215691403425,0.05942857142857143,0.003116525074541886,0.000942740520620562,0.007285955653684925,0.0016694663360208428,0.0034569882300065496,0.004272334024774602,0.3375456506452188,2134.539849534
SMD-machine-1-2,Stumpi,0.6205949904371291,0.04044083624784623,0.040620844845971824,0.05805084745762712,0.25276752767527677,0.09441764300482426,0.04529975490728919,0.10307565006764867,0.06293902531572108,0.02165899312008127,0.08543339534450096,0.5693244273507729,1152.214003254
SMD-machine-3-5,Stumpi,0.24891237488967105,0.01082112313031747,0.01085486556250514,0.0,0.0,0.0,0.0,0.0,0.0,0.020319671148528257,0.11536843053255853,0.4121115369715958,1165.073258206
SVDB-820,Stumpi,0.7823759814993477,0.3772874161609571,0.3773225358263065,0.4207806869002649,0.4239653512993263,0.4223670160604938,0.17506024998515318,0.227729414224431,0.1979512967957274,0.09418230813797329,0.20668846235121116,0.7160614365144506,759.660576602
SVDB-827,Stumpi,0.705574335615668,0.025384311483990268,0.02540986656293771,0.03573444487864183,0.3216100039077765,0.0643220007815553,0.00920978363182049,0.12190908623155632,0.017125777672053904,0.007956735974237825,0.015874187031920044,0.6737524499727391,760.187334451
CoMuT-ts_0,SAND,0.7073038505330713,0.006471415498049851,0.006655236913190058,0.0,0.0,0.0,0.0,0.0,0.0,0.012498701294029193,0.014794435853027125,0.5178497346275762,5.095330589
Exathlon-5_1_100000_63-64,SAND,0.5111313005938292,0.13270020944408656,0.13280450929350537,0.12856474988312294,0.10115872723928637,0.11322696860524961,0.13298772265590475,0.0013682098362742142,0.002708553420253443,0.08175968463856301,0.0755430121118255,0.5122151999308011,181.289207027
GutenTAG-cbf-position-end,SAND,0.5321601916467014,0.011236713005814702,0.011545085472197965,0.014418125643666324,0.14,0.026143790849673203,0.02464839785413948,0.009800000000000001,0.014024123850017637,0.004566173676945213,0.02228425970364797,0.5065922537129592,1.940711935
GutenTAG-ecg-type-pattern-shift,SAND,0.8498182480991529,0.04751280813061556,0.048461902185016476,0.05149330587023687,0.5,0.09337068160597572,0.006369426751592357,0.25,0.012422360248447206,0.011987736889615646,0.020869762667767335,0.6949413893624757,1.248220749
GutenTAG-poly-channels-single-of-2,SAND,0.20177481512342219,0.0060666682264305235,0.006275570723067458,0.003089598352214212,0.03,0.0056022408963585435,0.00684931506849315,0.0009,0.0015909492663956162,0.00030126439618309857,0.010598193510990925,0.43105886434378354,2.816936523
GutenTAG-poly-same-count-1,SAND,0.9068284553692304,0.13711296640135376,0.13908762082798784,0.04531410916580844,0.44,0.08216619981325864,0.02537192183060878,0.11320000000000001,0.04145286452382164,0.015723547958651992,0.02574095041966603,0.7266954400205686,1.61659441
GutenTAG-rw-channels-all-of-3,SAND,0.3220487449224039,0.00788425674483164,0.008110229231467831,0.01132852729145211,0.11,0.02054154995331466,0.07130434782608697,0.0073,0.013244095359256596,0.014116348352557314,0.04315895290840058,0.3123194155733475,4.781336057
GutenTAG-sinus-channels-single-of-10,SAND,0.7991740443703784,0.023771737528388976,0.024023255557972554,0.0,0.0,0.0,0.0,0.0,0.0,0.05283954838069194,0.04727374251249644,0.6473360932179116,14.561848219
GutenTAG-sinus-channels-single-of-5,SAND,0.7872815331736275,0.07569564988245532,0.07818322259317326,0.032955715756951595,0.32,0.059757236227824466,0.011007793603869928,0.1024,0.01987867022567338,0.020412545469166425,0.05065331279700836,0.6061602183478532,5.938676306
KDD-TSAD-001_UCR_Anomaly_DISTORTED1sddb40,SAND,0.5486404037206064,0.008953436154505017,0.008997850252483126,0.009559748427672956,0.12258064516129032,0.017736289381563596,0.005309734513274336,0.00586888657648283,0.00557532621589561,0.006383001129051143,0.00524302902619478,0.5236040344752595,18.397748673
KDD-TSAD-058_UCR_Anomaly_DISTORTEDapneaecg,SAND,0.6894075535496053,0.0027080924225679594,0.00277663531599515,0.0015702695629416384,0.08823529411764706,0.0030856261249678583,0.0028328611898017,0.007785467128027682,0.004154165705054235,0.001235296424476705,0.0047897108271926685,0.6582471880161839,7.056685263
KDD-TSAD-081_UCR_Anomaly_DISTORTEDresperation3,SAND,0.8046838777660695,0.000013487268018990073,0.000026974536037980147,0.0,0.0,0.0,0.0,0.0,0.0,1.3879474132766333e-11,0.0010832428361339582,0.6433130813420116,87.52441799
KDD-TSAD-114_UCR_Anomaly_CIMIS44AirTemperature2,SAND,0.439644023237079,0.002492346681845616,0.0026401856147064535,0.0,0.0,0.0,0.0,0.0,0.0,0.0005358344573915465,0.021151969353724764,0.44362587463527986,1.643988599
KDD-TSAD-143_UCR_Anomaly_InternalBleeding8,SAND,0.47427946146671995,0.017442260034731805,0.017967115606144706,0.022191400832177532,0.14678899082568808,0.03855421686746988,0.013333333333333334,0.021547007827623938,0.016473086451529874,0.007310051935452848,0.026956126280018648,0.49828418466148605,1.220906445
KDD-TSAD-189_UCR_Anomaly_resperation3,SAND,0.7092202318229716,9.059448098421843e-6,0.000018118896196843687,0.0,0.0,0.0,0.0,0.0,0.0,1.3879474132766333e-11,0.0010148927463198031,0.620252643230764,128.219871469
MITDB-115,SAND,0.4586080592072274,0.00236668902855925,0.002370421314113643,0.0020316756706838437,0.07542857142857143,0.003956775228189026,0.002132612667793741,0.003141912167111659,0.002540695853524324,0.0017619584577245216,0.003382637357668198,0.4817296867485282,463.823346074
SMD-machine-1-2,SAND,0.384943444892373,0.01846569277603443,0.018727037910335895,0.016666666666666666,0.07195571955719557,0.027064538514920196,0.023066644240113628,0.06691101167674593,0.034306572812248394,0.028624885726930827,0.08776707179160421,0.4367599902018185,102.939610081
SMD-machine-3-5,SAND,0.463540919236003,0.015834750428591334,0.01590433737971447,0.008974358974358974,0.04929577464788732,0.015184381778741865,0.021564969668047693,0.1317193227065181,0.03706215627000764,0.013672815489945355,0.07120291344415235,0.47206644678753723,101.676692061
SVDB-820,SAND,0.6001916866971183,0.11759569218754722,0.11760415908830299,0.043109817044022426,0.04362932664819457,0.043368016088135,0.05837615915473438,0.0036671045972377744,0.006900716327922249,0.0657632595150042,0.21143056921820433,0.5414354184676767,70.724405229
SVDB-827,SAND,0.5710322423278198,0.01170075920243376,0.011708163839646808,0.003346225718134805,0.03008987885892927,0.006022682831443097,0.006914557979436891,0.0014649078161635782,0.0024176219048979326,0.00979164198816028,0.015328132765132283,0.5136075982876248,81.81417487
CoMuT-ts_0,KMeans,0.7432652125165592,0.00817847844753983,0.008508227333879828,0.010141987829614604,0.25,0.01949317738791423,0.0010953502382386768,0.0625,0.002152968405188654,0.001239750949783412,0.014684693585326676,0.5956834196077992,0.0540532
Exathlon-5_1_100000_63-64,KMeans,0.8702691978300419,0.49551009793196504,0.4955503406648052,0.4090379687863965,0.32297222733124886,0.36094552929085305,0.4283299120192624,0.09332542199257587,0.15325854902629407,0.2376874464125864,0.23437526232329972,0.8511988468848287,1.3935446040000001
GutenTAG-cbf-position-end,KMeans,0.9419505691723926,0.08505501051799488,0.08657690804168752,0.07707910750507099,0.76,0.13996316758747698,0.05555555555555555,0.5776,0.1013617857644251,0.06176534809638509,0.03682368279173879,0.7403011914865467,0.031522884
GutenTAG-ecg-type-pattern-shift,KMeans,0.7243216080402163,0.1396013395542307,0.14336778744787235,0.04766734279918864,0.47,0.0865561694290976,0.014909478168264111,0.046100000000000016,0.022531808636727827,0.008315837505404747,0.013072647914902619,0.6485078880494933,0.031797809
GutenTAG-poly-channels-single-of-2,KMeans,0.9497374628243245,0.4127579948920174,0.4135218431522925,0.0821501014198783,0.81,0.14917127071823205,0.13805075116778184,0.6561,0.22810555227201612,0.23617610295105393,0.14139767592104788,0.7427737543953385,0.042278139
GutenTAG-poly-same-count-1,KMeans,0.7806553174033435,0.02136484537289699,0.02159965565116958,0.0,0.0,0.0,0.0,0.0,0.0,0.13307664009390643,0.11362397391913388,0.6243984019553126,0.031583536
